source,target,dist_m
268,7908,47958.0
268,8485,85305.0
268,8781,18284.0
268,9592,141730.0
269,1197,63355.0
269,8501,13393.0
270,639,5393.0
270,3664,35510.0
270,5817,14732.0
270,10146,65794.0
271,1414,55504.0
271,6373,53992.0
272,4117,53094.0
272,9608,56428.0
273,2262,6256.0
273,2264,6561.0
273,7303,44047.0
273,8038,18923.0
274,4088,91147.0
274,8389,29968.0
274,9822,140585.0
275,3912,28179.0
275,7030,46298.0
275,8866,28414.0
275,9195,20453.0
276,8432,238611.0
276,10382,159977.0
277,283,53869.0
277,2120,13212.0
278,1138,33813.0
278,1303,156769.0
278,1356,91742.0
278,8678,146499.0
278,10374,33698.0
279,1588,18842.0
279,9838,40335.0
280,348,17959.0
280,496,51876.0
280,1554,11825.0
280,1758,117905.0
280,4413,9894.0
280,4813,55324.0
280,7458,85975.0
280,9598,58571.0
280,9607,163547.0
281,680,71092.0
281,1604,69906.0
281,7233,98010.0
281,8620,49275.0
281,10187,113804.0
282,1379,163991.0
282,4325,37099.0
282,6551,36745.0
282,6988,16864.0
282,7055,64205.0
282,8097,36979.0
282,8338,95275.0
282,8361,32369.0
282,9126,27160.0
282,10231,135575.0
283,1456,55746.0
284,1731,17032.0
284,8714,57648.0
284,10093,65133.0
285,6379,37039.0
285,8607,31166.0
286,655,35090.0
286,1662,42642.0
286,4791,53980.0
287,1837,102915.0
287,3173,10023.0
287,9210,178353.0
288,1672,43234.0
288,4195,88580.0
288,4280,42643.0
288,6446,14156.0
289,4340,59725.0
289,4616,26217.0
290,3780,10318.0
290,4048,44545.0
290,7243,9458.0
290,9245,7412.0
290,10303,10518.0
291,1745,86409.0
291,5296,7248.0
291,6236,9430.0
292,6655,81556.0
292,9451,85497.0
292,9951,7672.0
292,10077,76285.0
292,10089,40594.0
293,6959,20668.0
293,9236,36620.0
294,376,132991.0
294,8135,85582.0
295,3213,46454.0
295,10356,58432.0
296,605,11987.0
296,3200,18447.0
297,8194,86360.0
297,8879,33118.0
298,3914,24758.0
298,4156,44154.0
298,6034,120576.0
299,4540,270622.0
299,5803,53244.0
299,6894,59776.0
300,6685,46777.0
300,7048,42590.0
301,932,16439.0
301,6034,79920.0
302,552,28471.0
302,1528,21004.0
302,1750,43717.0
302,3684,61759.0
302,4242,91448.0
302,4783,45628.0
303,6277,12909.0
303,9094,59195.0
304,1539,90062.0
304,1817,66198.0
304,2962,184132.0
304,6595,124890.0
304,6743,261551.0
304,8559,67268.0
304,9220,81822.0
304,9227,105868.0
304,10038,72023.0
304,10086,97778.0
304,10161,42488.0
305,567,100871.0
306,1184,87503.0
306,6688,89929.0
306,7038,24145.0
306,9349,75389.0
306,9621,23388.0
306,9700,28324.0
307,4491,106299.0
307,4636,150667.0
307,7122,114826.0
307,7676,90522.0
307,8807,74777.0
307,9104,79746.0
308,1718,135925.0
308,5668,31776.0
308,8804,37113.0
308,9271,154485.0
309,310,29165.0
309,662,101527.0
309,970,47451.0
309,1638,9248.0
309,1798,51014.0
309,7616,34310.0
309,10072,46905.0
310,8961,15662.0
311,703,37643.0
311,1781,22519.0
311,8503,45344.0
311,10055,58180.0
312,9593,129313.0
312,9810,25666.0
312,10287,26354.0
313,736,87797.0
313,6486,114931.0
313,7914,171811.0
314,3920,27459.0
314,7159,57053.0
315,2423,2906.0
315,4030,16373.0
315,4775,15225.0
315,8809,28196.0
316,2122,11768.0
316,2171,37904.0
316,2180,13789.0
316,2196,12028.0
316,4615,21442.0
316,8252,41480.0
316,9362,104853.0
317,463,53986.0
317,2048,22629.0
317,2856,32933.0
317,3821,24219.0
317,8873,34286.0
318,1531,41693.0
318,9614,27803.0
319,2175,20757.0
319,2192,16869.0
319,2202,11374.0
319,3468,8354.0
319,3474,10206.0
320,1628,43984.0
320,3805,16902.0
320,6736,24106.0
321,930,51755.0
321,6925,24199.0
321,9152,9231.0
321,9529,48217.0
322,7466,70836.0
322,8074,62987.0
323,452,128515.0
323,2942,315291.0
323,7199,32731.0
323,7614,205860.0
323,9386,17179.0
323,10080,29313.0
324,2101,9390.0
324,6745,43387.0
324,9550,15047.0
325,6376,84851.0
325,6981,67888.0
325,6992,24271.0
326,6868,18909.0
327,372,236497.0
327,1421,169156.0
327,2916,144399.0
328,5913,270993.0
328,8041,30825.0
328,10018,149935.0
329,1590,58127.0
329,7285,44805.0
329,7912,56675.0
330,705,59674.0
330,2025,5330.0
331,3014,23829.0
331,3026,23934.0
331,3598,191856.0
331,10202,62259.0
332,597,39662.0
332,3595,115921.0
332,6754,18379.0
332,7609,45980.0
333,1358,94004.0
333,4815,48915.0
334,1122,92502.0
334,2105,22043.0
334,4054,29579.0
334,4242,42582.0
334,4918,54204.0
335,819,9699.0
335,9074,73488.0
336,1230,23253.0
336,7556,66601.0
336,8332,60413.0
337,5170,19061.0
337,10186,69655.0
338,8984,61815.0
338,10049,92111.0
339,1521,22562.0
339,3637,62080.0
339,3641,18461.0
339,4551,10134.0
340,6981,57114.0
340,8515,11954.0
341,8264,221916.0
341,9547,11862.0
341,10110,48847.0
342,544,40131.0
342,1297,26936.0
342,6915,5169.0
343,2166,21053.0
343,2172,6089.0
343,2176,9652.0
343,3471,10527.0
